,Actual value,Predicted value
4422,1,1.7278406088824632
3665,0,2.8259764817655144
2409,0,-0.19194262252461236
4074,2,1.9783779899286067
3855,0,2.002727959976176
2666,5,0.7754706730481917
645,0,0.2640638716184043
4080,1,1.499958820475146
30,0,-0.45774365356203495
2145,5,3.666146458318451
390,4,6.679808255279989
3590,1,1.8633490086990836
3141,0,1.8724722993855818
1491,0,-0.094059078190178
2604,0,-0.44758957253968035
4321,2,1.464457910307699
5901,0,1.4645242575000141
5905,1,2.2483739246305863
5315,2,2.5840567204460045
3822,0,1.4785458333434907
2040,1,2.4089793716277104
5295,0,1.8232311993701238
4953,1,1.9107496004505737
4022,2,1.7211978430172232
1592,1,-0.036429329605569105
4373,0,1.9705600284672466
3807,0,2.737161551033327
870,1,0.5121888413981344
51,2,0.4594580834753321
3832,1,1.795584964238298
3480,1,1.868139974375742
2369,0,-0.45489421624996984
193,0,5.971770655584608
1253,0,0.21885711362734916
4656,3,1.6102621205015897
2320,0,0.15601144327100336
268,1,1.5168481734753985
3079,0,1.3705876878483272
140,0,-0.2386971060991745
1358,0,-0.0979157933375463
2147,0,-0.09478487398878777
742,4,6.834041015083979
4273,1,1.9635935732741463
4409,0,1.4811747459743008
2270,0,0.16097672212940006
1386,3,9.784423355274258
1311,0,0.4817125266210822
5722,0,2.2625037511562613
4432,3,8.622204644476641
1361,0,-0.08428615189363153
17,0,-0.4518492293184493
1467,0,0.15442609457041812
3803,2,2.468880698818441
2125,0,0.40457639969450865
1369,0,0.6260459676741439
1853,1,-0.0959092843006566
381,0,-0.4652527286861472
66,1,-0.0169986809402789
925,3,1.764560103934707
3101,0,1.1423811473944139
2895,0,-0.4273009957198941
3692,0,2.05735068657381
3232,0,1.1672436571670937
123,0,-0.22096061884541207
5025,0,1.8362003294890084
2167,0,-0.04398083957893251
1247,0,-0.10118563206846343
1716,2,2.145166630922274
1932,0,-0.07929075480315007
1385,0,-0.07926175642449262
5452,0,1.6335513982695957
1458,0,-0.05847732164108699
1392,2,0.4157246258828562
1323,0,5.8424144003305685
517,1,0.045319095060953885
3115,0,7.361557093313008
265,0,-0.41199437951999585
1787,5,0.16096896018845985
2649,0,-0.1945868695054025
3110,0,1.1388198821137
2984,7,7.020467044945228
5062,0,2.0561816588405275
761,0,0.5217464064637332
3002,0,1.1174901706024438
2231,16,5.512931806051136
1589,0,-0.09526327216495556
2820,0,0.06250385303125272
1160,0,0.5261343722027854
3060,2,1.363485046313106
4512,1,7.290495320035205
311,0,-0.46201431757264233
4725,0,1.3516367774139084
5076,1,2.0855789120077475
61,1,18.582466710062484
4442,0,1.5993110847561383
1,0,-0.46205622106252564
1935,0,-0.06158463244806445
5619,0,3.25848807249111
4801,1,1.3684919819947936
3840,0,1.6612453542075216
611,1,0.7619544998389274
2392,0,0.8697655201645293
1595,2,5.492879600932433
5688,1,1.7954802055135897
27,0,-0.4516152681666008
3456,1,1.8928348701888886
5002,0,1.3811527571357987
3155,3,2.139636009896355
5035,0,1.84337523941279
4364,0,1.4785353574710198
4635,0,1.9518827533570602
3031,8,3.154352330170979
2994,0,0.07758349199428327
3405,0,1.8363015962562264
1019,0,0.43349957141434814
810,0,0.4417634407157278
4033,3,8.06168925062551
3281,0,3.548340159388786
2269,2,0.3948612425971936
4538,1,1.3811876767107014
4019,7,9.25240704307314
1559,2,0.3858877470078359
1628,0,-0.08750171338280799
31,0,1.131828847302029
1112,5,3.252046365360976
2131,12,1.8592978515476042
3261,6,5.126226047760959
3319,4,3.42721174439715
5563,1,1.740601588071951
5974,0,1.946905982652794
4224,11,5.733881453775936
951,0,0.5455287612384687
4369,0,1.4809931641848064
4648,0,1.380929271856421
2123,1,-0.08001601924239221
5411,1,2.005122664788545
3379,0,2.222991159937192
817,0,0.34379748355837547
5661,0,1.4785912287908642
1832,1,-0.23633164988315802
242,0,-0.45150701748440225
3910,0,1.4911112629135226
4042,2,2.4645949471244455
1449,0,-0.07266651144409675
2478,1,5.960792286577191
1127,0,0.26292200151908407
672,0,0.26403593595848207
5085,0,1.8296110057048578
5902,1,1.7506251192556537
2483,6,0.7780838533475447
3798,3,6.991413440676363
5124,3,3.3268812006595123
1140,0,0.3368006634665983
5627,2,3.2251108038371186
4769,0,1.1989109293695859
1227,1,0.5339784285793723
4281,0,7.404906602972398
827,0,0.26379499089165304
4581,3,2.203537617934783
3554,5,4.330953426901209
2545,0,-0.44474765050196363
2029,1,6.078932103412622
4975,1,1.8933862212889032
3901,3,4.97084119649057
5554,0,1.6741643066447223
3463,0,1.8504977699742176
3845,0,1.4777426831207272
2577,0,-0.11107122093687072
4425,0,1.6451326271867375
3398,0,2.09877638588352
228,0,-0.37748169332229686
5147,0,1.8358266900375488
116,0,-0.4510390951807053
1399,2,0.5432786227010826
587,0,-0.42974832656120965
3270,0,1.1208913371979725
3322,2,2.1017195746884543
1463,0,-0.026621483734119877
4195,2,2.7218979010420474
2722,13,11.499770138690272
1664,0,-0.09414933772555756
63,0,-0.5022696035205425
3533,3,3.831508346238145
2221,5,1.8664029985647792
826,0,0.26375657935926
5676,0,1.4856858236923691
339,1,0.04086092806460728
5479,0,1.4786750357706309
4165,0,1.5176743559839667
919,1,0.2626985162397064
235,0,-0.11496422217916047
